,value
154,2.5500000000000034
155,2.4750000000000036
156,2.5875000000000035
157,2.8875000000000037
158,3.2500000000000036
159,4.975000000000003
160,7.162500000000003
161,9.337500000000002
162,11.512500000000003
163,13.375000000000004
164,14.137500000000005
165,14.300000000000004
166,14.312500000000004
167,12.637500000000003
168,10.662500000000003
169,8.437500000000004
170,6.412500000000003
171,4.6750000000000025
172,3.6375000000000024
173,3.2125000000000026
174,2.9750000000000023
175,3.200000000000002
176,3.100000000000002
177,3.075000000000002
178,3.162500000000002
179,3.200000000000002
180,3.450000000000002
181,3.8875000000000015
182,4.500000000000002
183,4.712500000000002
184,5.737500000000002
185,6.900000000000002
186,8.225000000000001
187,9.412500000000001
188,9.575000000000001
189,9.200000000000001
190,8.325000000000001
191,7.900000000000001
192,6.687500000000001
193,5.5375000000000005
194,4.425000000000001
195,3.2125000000000004
196,2.9375000000000004
197,2.8375000000000004
198,2.9375000000000004
199,3.1000000000000005
200,3.212500000000001
201,3.275000000000001
202,2.975000000000001
203,2.8375000000000012
204,2.825000000000001
205,3.137500000000001
206,4.075000000000001
207,4.887500000000001
208,5.525000000000001
209,7.087500000000001
210,9.250000000000002
211,10.812500000000002
212,11.312500000000002
213,11.362500000000002
214,10.475000000000003
215,9.612500000000002
216,9.025000000000002
217,7.612500000000002
218,5.500000000000002
219,4.100000000000001
220,3.4625000000000012
221,3.062500000000001
222,3.062500000000001
223,2.9125000000000005
224,2.9375000000000004
225,2.7375000000000007
226,2.7000000000000006
227,2.6250000000000004
228,2.8375000000000004
229,3.4625000000000004
230,4.1000000000000005
231,4.9750000000000005
232,4.5125
233,4.2
234,4.5875
235,4.275
236,4.8875
237,4.8875
238,4.475
239,3.675
240,4.1125
241,4.475
242,4.137499999999999
243,4.374999999999999
244,3.624999999999999
245,2.999999999999999
246,2.687499999999999
247,2.649999999999999
248,2.524999999999999
249,2.399999999999999
250,2.2874999999999988
251,2.374999999999999
252,2.5874999999999995
253,3.0874999999999995
254,4.1
255,4.6625
256,5.7375
257,6.5125
258,7.7375
259,9.175
260,10.05
261,9.8375
262,8.7875
263,8.125
264,7.2749999999999995
265,6.6625
266,5.5625
267,4.3125
268,3.3
269,3.0875
270,3.25
271,3.7
272,3.5124999999999997
273,3.4875
274,3.35
275,3.0250000000000004
276,3.0000000000000004
277,3.7375000000000003
278,4.612500000000001
279,5.825000000000001
280,7.7125
281,9.2875
282,11.3125
283,13.2375
284,14.1125
285,13.950000000000001
286,13.512500000000001
287,12.0
288,10.3
289,9.137500000000001
290,7.625000000000002
291,5.800000000000002
292,4.937500000000002
293,4.450000000000002
294,4.0500000000000025
295,4.100000000000002
296,4.325000000000003
297,4.287500000000003
298,4.012500000000004
299,4.225000000000004
300,5.962500000000005
